ID,Disease,Name,MeSH_ID,Description
1050,C1282509,Metastasis from malignant tumor of thyroid (disorder),,"Metastasis from a malignant thyroid tumor denotes advanced thyroid carcinoma, most often arising from papillary, follicular, medullary, poorly differentiated, or anaplastic subtypes, in which neoplastic cells spread to regional lymph nodes or distant sites such as lung, bone, liver, and brain. Its molecular basis commonly involves MAPK and PI3K/AKT pathway dysregulation, with representative alterations including BRAF V600E, RAS mutations, RET/PTC fusions, NTRK fusions, PAX8-PPARG rearrangement, TERT promoter mutations, TP53 in aggressive disease, and RET activating mutations in medullary thyroid carcinoma; relevant proteins include RET, BRAF, MEK, VEGFR, EGFR, and components of angiogenic signaling. Most cases are sporadic, but inherited susceptibility is important in medullary carcinoma, especially autosomal dominant MEN2 syndromes due to germline RET mutations; familial non-medullary thyroid cancer is less common. Clinical manifestations reflect both thyroid primary and metastatic burden, including thyroid nodule or neck mass, cervical adenopathy, hoarseness, dysphagia, dyspnea, cough, hemoptysis, bone pain, pathologic fracture, neurologic deficits, and weight loss. Complications include airway compromise, recurrent laryngeal nerve palsy, spinal cord compression, malignant pleural disease, treatment-refractory progression, and endocrinopathies or hypocalcemia related to therapy. Diagnosis relies on ultrasound and cross-sectional imaging, radioiodine scanning for differentiated tumors, PET/CT in dedifferentiated disease, serum thyroglobulin or calcitonin/CEA as subtype-specific markers, fine-needle aspiration or tissue biopsy with histopathology and immunohistochemistry, and molecular testing for actionable alterations. Treatment commonly includes radioactive iodine for iodine-avid differentiated metastases, lenvatinib or sorafenib as multikinase inhibitors targeting VEGFR/FGFR/RET and angiogenesis, vandetanib or cabozantinib for metastatic medullary carcinoma through RET, VEGFR, and MET inhibition, and genotype-directed agents such as selpercatinib for RET-altered tumors, dabrafenib plus trametinib for BRAF V600E anaplastic carcinoma, or larotrectinib for NTRK fusion-positive disease."
1051,C1288351,Malignant Neoplasm (Morphology),,"Malignant neoplasm is a morphologic designation for cancer characterized by clonal, autonomous proliferation of cells with the capacity for local tissue invasion, angiogenesis, immune evasion, and metastatic spread; it encompasses major subtypes such as carcinomas, sarcomas, hematologic malignancies, melanomas, and central nervous system tumors. Its molecular basis is heterogeneous but commonly involves activating alterations in oncogenes and loss of tumor suppressors, including TP53, KRAS, EGFR, BRAF, PIK3CA, MYC, ALK, HER2/ERBB2, APC, PTEN, RB1, BRCA1/2, and mismatch-repair genes such as MLH1 and MSH2, with corresponding protein dysregulation affecting cell-cycle checkpoints, DNA repair, apoptosis, and growth signaling. Core pathways include receptor tyrosine kinase/RAS/RAF/MEK/ERK, PI3K/AKT/mTOR, WNT/β-catenin, p53, TGF-β, JAK/STAT, NF-κB, Hedgehog, Notch, and angiogenic VEGF signaling, together with alterations in the tumor microenvironment and immune checkpoints such as PD-1/PD-L1 and CTLA-4. Clinical manifestations vary by site and stage but commonly include a mass lesion, pain, bleeding, weight loss, fatigue, anemia, cachexia, obstruction, neurologic deficits, or paraneoplastic syndromes. Comorbidities and complications include infection, venous thromboembolism, malnutrition, organ failure, pathologic fracture, metastases, and treatment-related toxicity. Inheritance is usually multifactorial or somatic, but hereditary predisposition is well established in syndromes such as hereditary breast-ovarian cancer due to BRCA1/2, Lynch syndrome from mismatch-repair defects, familial adenomatous polyposis from APC mutations, and Li-Fraumeni syndrome from TP53 variants. Diagnosis relies on clinical evaluation, imaging, histopathology confirming malignant cytology and invasion, immunohistochemistry, flow cytometry where relevant, and molecular testing including cytogenetics, FISH, PCR, and next-generation sequencing. Common therapies include cisplatin, which crosslinks DNA; doxorubicin, a topoisomerase II inhibitor and free-radical generator; and pembrolizumab, a PD-1 checkpoint inhibitor, with additional use"
1052,C1290159,Subacute bursitis,,"Subacute bursitis (UMLS C1290159) is an inflammatory disorder of a synovial bursa, usually evolving over days to weeks between acute and chronic phases, most often caused by repetitive microtrauma, pressure, crystal deposition, inflammatory arthropathy, or less commonly low-grade infection. It commonly affects the olecranon, prepatellar, subacromial, trochanteric, and pes anserine bursae and presents with localized pain, tenderness, swelling or fluctuance, warmth, restricted motion of adjacent joints, and occasionally erythema; septic cases may add fever and marked inflammatory signs. Molecularly, bursitis is not a classic monogenic disease, but inflammatory mediators such as TNF, IL1B, IL6, PTGS2/COX-2, NFKB, and matrix-remodeling enzymes including MMPs are implicated, with relevant pathways including innate immune/Toll-like receptor signaling, NF-kappaB, arachidonic acid–prostaglandin synthesis, inflammasome activation in crystal disease, and leukocyte recruitment. Genetic influences are usually indirect through predisposition to associated disorders, for example HLA-B27 in seronegative spondyloarthritis, HLA-DRB1 shared-epitope alleles and PTPN22 in rheumatoid arthritis, and SLC2A9 or ABCG2 variants in gout; inheritance is therefore generally complex, multifactorial, and non-Mendelian. Important comorbidities include osteoarthritis, rheumatoid arthritis, gout, pseudogout, diabetes mellitus, obesity, occupational kneeling or leaning, and immunosuppression, while complications include chronic bursitis, bursal thickening or calcification, reduced function, recurrence, and septic bursitis, commonly due to Staphylococcus aureus. Treatment is directed at inflammation and cause: ibuprofen, naproxen, or diclofenac inhibit COX-1/COX-2 and reduce prostaglandin-mediated pain and swelling; corticosteroids such as triamcinolone or methylprednisolone suppress glucocorticoid-responsive cytokine transcription; colchicine inhibits microtubule polymerization and neutrophil activation in crystal-associated cases; and when infection is suspected, antibiotics such as dicloxacillin, cephalexin, or vancomycin target likely gram-positive pathogens. Diagnosis is clinical, supported by ultrasound or MRI, inflammatory"
1053,C1292758,Precursor T-Cell Lymphoblastic Lymphoma,,"Precursor T-cell lymphoblastic lymphoma (UMLS C1292758) is an aggressive neoplasm of immature thymic T-lymphoblasts, biologically overlapping with T-cell acute lymphoblastic leukemia and distinguished mainly by a mass-forming presentation with limited marrow involvement; common molecular lesions include activating NOTCH1 and FBXW7 mutations, CDKN2A/CDKN2B deletion, PTEN loss, TAL1, TLX1/HOX11, TLX3, LMO1/2, and MYC dysregulation, and aberrant expression of TdT, cytoplasmic/surface CD3, CD7, CD2, CD5, and variable CD1a, CD4, and CD8. Central pathogenic pathways include NOTCH signaling, PI3K/AKT/mTOR, JAK/STAT, cell-cycle checkpoint disruption via RB and p16INK4A, and transcriptional programs governing thymocyte development. It typically presents in adolescents or young adults, often male, with a bulky anterior mediastinal/thymic mass, lymphadenopathy, pleural or pericardial effusions, cough, dyspnea, chest pain, wheeze, superior vena cava syndrome, fever, weight loss, and occasionally CNS or marrow dissemination. Immunophenotypic subtypes parallel cortical, early, or mature thymic T-cell differentiation, and early T-cell precursor-like biology may confer high risk. Most cases are sporadic rather than classically inherited, although rare predisposition is linked to constitutional variants affecting lymphoid development or tumor suppression, including TP53 or ATM pathway abnormalities. Diagnosis requires tissue biopsy showing lymphoblast morphology, high Ki-67, and T-lineage markers with TdT by immunohistochemistry or flow cytometry, plus bone marrow examination, CSF assessment, cytogenetic/molecular testing, and PET/CT or CT staging. Standard treatment uses intensive ALL-like multiagent chemotherapy such as vincristine, a microtubule inhibitor; prednisone or dexamethasone, lymphocytotoxic glucocorticoids; daunorubicin or doxorubicin, topoisomerase II inhibitors; cyclophosphamide, an alkylating agent; cytarabine and methotrexate, antimetabolites, with intrathecal CNS prophylaxis; nelarabine, a guanosine analog, is active in T-lineage disease. Major complications include"
1054,C1299579,Early cirrhosis,,"Early cirrhosis is an incipient, still potentially compensated stage of chronic liver fibrosis characterized by diffuse extracellular matrix deposition, architectural distortion, and regenerative nodule formation arising from persistent hepatocellular injury; major etiologic subtypes include alcohol-related cirrhosis, viral hepatitis B- or C-related cirrhosis, nonalcoholic steatohepatitis-related cirrhosis, cholestatic/autoimmune cirrhosis, and genetic/metabolic forms. Pathobiology centers on activation of hepatic stellate cells and portal fibroblasts through TGF-β/SMAD, PDGF, TNF-α, IL-6, NF-κB, Wnt/β-catenin, Hedgehog, oxidative stress, and apoptotic pathways, with matrix remodeling mediated by collagen I/III, TIMPs, and MMPs. Genetic contributors are usually disease-specific rather than cirrhosis-specific and include PNPLA3 I148M and TM6SF2 variants in steatotic liver disease, HFE mutations such as C282Y/H63D in hereditary hemochromatosis, SERPINA1 PiZZ in alpha-1 antitrypsin deficiency, ATP7B in Wilson disease, and ABCB4 or JAG1 in cholestatic disorders; inheritance is therefore commonly multifactorial, but may be autosomal recessive, codominant, or autosomal dominant depending on the underlying cause. Early cirrhosis may be asymptomatic or present with fatigue, anorexia, right upper quadrant discomfort, hepatomegaly or a small firm liver, spider angiomata, palmar erythema, thrombocytopenia, and mild splenomegaly, and it is linked to portal hypertension, ascites, variceal bleeding, hepatic encephalopathy, hepatocellular carcinoma, sarcopenia, osteoporosis, diabetes, renal dysfunction, and infections. Treatment targets cause and complications: nonselective beta-blockers such as propranolol, nadolol, or carvedilol reduce portal pressure via β-adrenergic blockade; spironolactone antagonizes mineralocorticoid receptors for ascites; furosemide promotes natriuresis; lactulose lowers ammonia by colonic acidification; and etiologic therapy includes antivirals such as tenofovir or entecavir for HBV and direct-acting antivirals for"
1055,C1303258,Acute ST segment elevation myocardial infarction (disorder),,"Acute ST-segment elevation myocardial infarction is an acute transmural ischemic necrosis syndrome, usually caused by abrupt thrombotic occlusion of an epicardial coronary artery after rupture or erosion of an atherosclerotic plaque, producing persistent ST elevation and biomarker release; common symptoms and signs include severe substernal chest pressure radiating to the arm, neck, or jaw, diaphoresis, dyspnea, nausea, pallor, anxiety, hypotension, new heart failure, or malignant ventricular arrhythmias, although atypical presentations occur in older adults, women, and patients with diabetes. Molecular contributors include inherited and acquired determinants of atherothrombosis and ischemia-reperfusion injury, with representative genetic associations involving LDLR, APOE, PCSK9, LPA, APOA5, CETP, NOS3, MTHFR, ACE, F5 Leiden, F2, and platelet receptor variants such as ITGB3; these are generally complex polygenic risk factors rather than Mendelian causes, although familial hypercholesterolemia from LDLR, APOB, or PCSK9 variants markedly increases risk. Key pathways include endothelial dysfunction with reduced nitric oxide signaling, oxidized LDL uptake, inflammation mediated by IL-1, TNF, NF-kB and NLRP3 inflammasome activation, platelet activation through thromboxane A2, ADP-P2Y12 and glycoprotein IIb/IIIa, coagulation via tissue factor and thrombin, and reperfusion-associated calcium overload, reactive oxygen species, and apoptosis. Standard therapy combines urgent reperfusion by primary PCI or fibrinolysis with antithrombotic and secondary prevention drugs such as aspirin, an irreversible COX-1 inhibitor; ticagrelor or clopidogrel, P2Y12 antagonists; unfractionated heparin, which potentiates antithrombin; fibrinolytics such as tenecteplase, which converts plasminogen to plasmin; beta-blockers, statins, ACE inhibitors, and high-risk cases may receive GP IIb/IIIa inhibitors. Major comorbidities include hypertension, diabetes, dyslipidemia, smoking, chronic kidney disease, obesity, and prior coronary disease; complications include cardiogenic shock, papillary muscle or septal rupture, acute mitral regurgitation, pericarditis, ventricular aneurysm, mural thrombus, recurrent ischemia,"
1056,C1306632,Primary malignant neoplasm of gastrointestinal tract,,"Primary malignant neoplasm of the gastrointestinal tract is a heterogeneous group of epithelial and nonepithelial cancers arising anywhere from the esophagus to the anus, most commonly adenocarcinomas but also including gastrointestinal stromal tumors, neuroendocrine neoplasms, lymphomas, and squamous or small-cell variants depending on site. Its biology is driven by recurrent alterations in APC, TP53, KRAS, SMAD4, PIK3CA, BRAF, CDH1, mismatch-repair genes MLH1, MSH2, MSH6, and PMS2, receptor tyrosine kinases such as ERBB2 and MET, and in selected tumors KIT, PDGFRA, and NTRK fusions; these lesions dysregulate WNT/β-catenin, EGFR/RAS/RAF/MAPK, PI3K/AKT/mTOR, TGF-β, p53, HER2, angiogenic VEGF, and DNA mismatch-repair/microsatellite-instability pathways. Inherited susceptibility is seen in Lynch syndrome, familial adenomatous polyposis, Peutz-Jeghers syndrome, juvenile polyposis, MUTYH-associated polyposis, hereditary diffuse gastric cancer, and KIT/PDGFRA-related familial GIST. Symptoms vary by location but commonly include dysphagia, odynophagia, abdominal pain, early satiety, altered bowel habits, occult or overt gastrointestinal bleeding, iron-deficiency anemia, weight loss, nausea, vomiting, obstruction, perforation, jaundice, and palpable mass. Frequent comorbidities and complications include malnutrition, cachexia, thromboembolism, bowel obstruction, perforation, fistula, metastatic spread to liver or peritoneum, and treatment-related cytopenias or neuropathy. Diagnosis relies on endoscopy or colonoscopy with biopsy and histopathology, cross-sectional imaging and PET when indicated, TNM staging, immunohistochemistry and molecular testing for MMR/MSI, HER2, PD-L1, RAS/BRAF, KIT/PDGFRA, and NTRK, plus germline testing when hereditary cancer is suspected. Standard therapies include fluorouracil or capecitabine, antimetabolites that inhibit thymidylate synthase; oxaliplatin, a platinum DNA cross-linker; irinotecan, a topoisomerase I inhibitor; trastuzumab for HER2-positive"
1057,C1306835,Periarthritis of shoulder,,"Periarthritis of the shoulder, commonly overlapping clinically with adhesive capsulitis and painful periarticular rotator-cuff–bursal disorders, is a non-neoplastic inflammatory and fibroproliferative condition of the glenohumeral capsule, synovium, subacromial bursa, and peri-tendinous soft tissues that causes progressive shoulder pain and restriction of both active and passive motion, especially external rotation, abduction, and elevation, often with night pain, stiffness, and functional limitation. It is usually classified into primary or idiopathic frozen shoulder and secondary forms related to trauma, surgery, immobilization, rotator-cuff disease, or systemic illness; clinically, freezing, frozen, and thawing phases are often recognized. Molecular studies implicate dysregulated fibrosis and inflammation rather than a single causative mutation, with increased expression of TGF-β1, CTGF, IL-1β, IL-6, TNF-α, COX-2, MMPs/TIMPs, collagen types I and III, fibronectin, VEGF, and myofibroblast markers such as α-SMA, involving TGF-β/SMAD, NF-κB, MAPK, cytokine, and extracellular-matrix remodeling pathways; genetic susceptibility is limited but familial clustering and candidate associations in fibrotic/inflammatory genes have been reported, without a clear Mendelian inheritance pattern. Major comorbidities include diabetes mellitus, thyroid disease, dyslipidemia, Dupuytren contracture, cervical spondylosis, stroke, Parkinson disease, and prolonged immobilization; complications include chronic pain, persistent stiffness, capsular contracture, sleep disturbance, and disability. Treatment commonly includes NSAIDs such as ibuprofen or naproxen, which inhibit COX-1/COX-2 and reduce prostaglandin synthesis, intra-articular corticosteroids such as triamcinolone or methylprednisolone, which suppress phospholipase A2–dependent inflammatory signaling and cytokine transcription, and analgesics such as acetaminophen for central pain modulation; refractory cases may require hydrodilatation, suprascapular nerve block, manipulation under anesthesia, or arthroscopic capsular release. Diagnosis is primarily clinical, supported by restricted passive and active range of motion and exclusion of alternative pathology, with radiographs to exclude osteoarthritis or calcific tendinopathy and ultrasound or MRI to assess capsular thick"
1058,C1318543,Giant Cell Tumor of Tendon Sheath,D000070779,"Giant cell tumor of tendon sheath (GCTTS), the localized form of tenosynovial giant cell tumor and closely related to diffuse-type pigmented villonodular synovitis, is a usually benign but locally aggressive synovial-like neoplasm arising from tendon sheath, bursa, or joint synovium, most often in the fingers and hand. A central molecular feature is CSF1 overexpression, commonly driven by chromosome 1p13 rearrangements such as COL6A3-CSF1 translocation, which recruits non-neoplastic CSF1R-expressing macrophages; additional reported alterations in some cases include FN1 fusions and occasional changes involving M-CSF/CSF1-CSF1R axis regulators rather than a classic inherited mutation pattern. Accordingly, key pathways include CSF1/CSF1R signaling, macrophage colony-stimulating networks, osteoclast-like giant cell differentiation via RANK/RANKL, MAPK/ERK and PI3K/AKT downstream signaling, and inflammatory mediators that contribute to hemosiderin deposition and bone erosion. Clinically, patients typically present with a slow-growing, firm, painless or mildly tender nodular mass, reduced range of motion, triggering, stiffness, swelling, and sometimes pressure erosion of adjacent bone; diffuse disease causes recurrent effusions and more destructive arthropathy. Important subtypes are localized and diffuse tenosynovial giant cell tumor. The condition is generally sporadic and not inherited in a Mendelian fashion. Diagnosis is based on clinical examination and imaging, especially MRI showing a lobulated soft-tissue mass with low T1/T2 signal from hemosiderin and blooming on gradient-echo sequences, followed by histopathology demonstrating mononuclear synovial-like cells, osteoclast-type giant cells, foamy macrophages, and hemosiderin, with immunohistochemistry or molecular testing such as FISH/RT-PCR for CSF1 rearrangement when needed. Standard treatment is surgical excision or synovectomy, while recurrent, unresectable, or diffuse disease may be treated with pexidartinib, a CSF1R tyrosine kinase inhibitor, imatinib, which inhibits CSF1R/KIT/PDGFR signaling, and nilotinib, another tyrosine kinase inhibitor with CSF1R activity; complications include local recurrence, joint damage, secondary osteoarthritis, tendon dysfunction"
1059,C1318559,Fusospirochetal pharyngitis (disorder),,"Fusospirochetal pharyngitis is an acute, usually nonhereditary, polymicrobial necrotizing infection of the tonsillopharyngeal mucosa classically caused by synergistic anaerobes, especially Fusobacterium necrophorum or other Fusobacterium species together with oral spirochetes such as Borrelia vincentii/Treponema species; unlike monogenic disorders, no specific germline mutation or Mendelian inheritance pattern is established, although host susceptibility may be influenced by immune-response genes and pathways governing neutrophil function and mucosal innate defense, including TLR2/TLR4-NF-kB signaling, cytokines such as IL-1, IL-6, and TNF-alpha, complement, and bacterial virulence factors including fusobacterial leukotoxin, endotoxin, hemagglutinins, and outer-membrane adhesins that promote tissue invasion and necrosis. It is considered within the spectrum of Vincent angina/necrotizing ulcerative pharyngotonsillitis and may overlap with necrotizing gingivitis or stomatitis. Typical findings include severe sore throat, fever, odynophagia, fetor oris, cervical lymphadenopathy, ulceronecrotic or pseudomembranous tonsillar lesions, gingival inflammation, and sometimes trismus. Important comorbidities or complications include poor oral hygiene, periodontal disease, smoking, malnutrition, immunosuppression, peritonsillar abscess, deep neck infection, septic thrombophlebitis of the internal jugular vein with Lemierre syndrome, septic emboli, and rarely sepsis. Diagnosis is primarily clinical, supported by oropharyngeal examination, anaerobic culture when feasible, Gram stain showing fusiform bacilli and spirochetes, blood cultures in systemic illness, inflammatory markers, and imaging such as contrast CT neck if abscess or jugular vein thrombosis is suspected; differential diagnosis includes group A streptococcal pharyngitis, diphtheria, EBV, gonococcal infection, and malignancy. Treatment relies on antibiotics active against anaerobes, commonly metronidazole, which causes DNA strand breakage after anaerobic reduction, penicillin or amoxicillin, which inhibit bacterial cell-wall transpeptidation, and clindamycin, which binds the 50S ribosomal subunit to suppress protein synthesis; amoxicillin-clav"
1060,C1318973,Staphylococcus aureus Infection,D013203,"Staphylococcal infections are acute or chronic bacterial diseases caused primarily by Staphylococcus aureus, including methicillin-susceptible and methicillin-resistant strains, and less virulent coagulase-negative staphylococci such as S. epidermidis, producing syndromes that range from impetigo, cellulitis, folliculitis, abscesses, pneumonia, osteomyelitis, septic arthritis, bacteremia, endocarditis, food poisoning, toxic shock syndrome, and scalded skin syndrome to device-associated biofilm infections. Major microbial determinants include mecA or mecC encoding the altered penicillin-binding protein PBP2a that mediates methicillin resistance, blaZ beta-lactamase, the accessory gene regulator agr quorum-sensing system, staphylococcal protein A encoded by spa, Panton-Valentine leukocidin genes lukS-PV/lukF-PV, alpha-toxin hla, and exfoliative toxins eta/etb. Host susceptibility has genetic components, particularly defects in neutrophil and Th17/IL-17 immunity, including CYBB in chronic granulomatous disease, STAT3 in hyper-IgE syndrome, and IL6ST, DOCK8, or CARD9-related immunodeficiency. Pathobiology centers on TLR2/NF-kB activation by peptidoglycan and lipoteichoic acid, NLRP3 inflammasome signaling, complement and opsonophagocytic killing, cytokines such as TNF, IL-1, IL-6, and the IL-17/IL-23 axis, together with biofilm pathways involving icaADBC polysaccharide matrix production. Typical findings include painful erythematous purulent skin lesions, fever, drainage, hypotension in invasive disease, respiratory symptoms in pneumonia, and positive blood or site cultures. Diagnosis relies on Gram stain and culture, susceptibility testing, PCR for mecA/mecC or toxin genes, blood cultures, imaging for deep foci, and echocardiography when endocarditis is suspected. Treatment commonly includes nafcillin or oxacillin, beta-lactams that inhibit cell-wall transpeptidation, vancomycin, a glycopeptide blocking peptidoglycan synthesis by binding D-Ala-D-Ala, and linezolid, a 50S ribosomal inhibitor; daptomycin depolarizes the bacterial membrane,"
1061,C1320183,Infection caused by Enterococcus,,"Infection caused by Enterococcus (most often Enterococcus faecalis or Enterococcus faecium) is an opportunistic, usually non-inherited bacterial disease that produces urinary tract infection, bacteremia, infective endocarditis, intra-abdominal and biliary infection, wound infection, and occasionally neonatal or device-associated disease, particularly in hospitalized, catheterized, immunocompromised, or antibiotic-exposed patients. Typical manifestations include fever, dysuria, urinary frequency, flank or abdominal pain, leukocytosis, sepsis, new murmur in endocarditis, and signs of metastatic embolic or deep-seated infection. Important microbial genetic determinants include intrinsic and acquired resistance genes such as pbp5, which contributes to reduced beta-lactam susceptibility in E. faecium, van operons including vanA and vanB mediating high-level glycopeptide resistance, aminoglycoside-modifying enzyme genes such as aac(6’)-Ie-aph(2”)-Ia causing loss of synergistic gentamicin activity, and virulence factors including esp, asa1, cylA, gelE, and the fsr quorum-sensing locus. Relevant pathways include peptidoglycan cell-wall biosynthesis targeted by beta-lactams and glycopeptides, D-Ala-D-Ala to D-Ala-D-Lac remodeling in vancomycin resistance, ribosomal protein synthesis, DNA replication, and biofilm formation regulated by quorum sensing and surface adhesins. Common treatments include ampicillin, a beta-lactam inhibiting penicillin-binding proteins; vancomycin, a glycopeptide that binds D-Ala-D-Ala; linezolid, an oxazolidinone blocking 50S initiation; daptomycin, which depolarizes the bacterial membrane; and nitrofurantoin for lower urinary infection via reactive intermediates that damage bacterial macromolecules. Major complications include persistent bacteremia, abscess, endocardial destruction, embolic stroke, osteomyelitis, and relapse. Disease subtypes are commonly classified by species, syndrome, and resistance phenotype, especially vancomycin-resistant enterococcal infection. Diagnosis relies on culture of urine, blood, or sterile-site specimens with speciation and susceptibility testing, echocardiography when endocarditis is suspected, and molecular detection of van genes or other resistance determinants when clinically needed."
1062,C1320547,Allergic otitis externa,,"Allergic otitis externa (UMLS C1320547) is a nonhereditary inflammatory disorder of the external auditory canal caused by hypersensitivity, most often allergic contact dermatitis to topical medications, hearing-aid molds, ear drops, shampoos, metals, or fragrances, and less commonly by atopic mechanisms; it presents with intense pruritus, erythema, edema, scaling, serous otorrhea, aural fullness, and variable conductive hearing loss, while pain is usually less prominent than in infectious otitis externa. Its molecular basis is primarily immune rather than monogenic, with relevant components including epidermal barrier proteins such as filaggrin (FLG) in atopic susceptibility, Th2 cytokines IL-4, IL-5, and IL-13, epithelial alarmins such as TSLP, eosinophils, mast cells, IgE-mediated pathways in atopic cases, and hapten-specific type IV delayed hypersensitivity mediated by Langerhans cells and T lymphocytes with downstream NF-κB and JAK-STAT signaling. Common comorbidities include atopic dermatitis, allergic rhinitis, asthma, seborrheic dermatitis, psoriasis, and secondary bacterial or fungal superinfection; complications include canal stenosis, lichenification, chronic eczematous otitis externa, excoriation, and recurrent cerumen obstruction. Subtypes include allergic contact otitis externa, atopic/eczematous otitis externa, and chronic eczematoid forms. Treatment centers on allergen avoidance and topical therapy; representative drugs include hydrocortisone or dexamethasone, which suppress phospholipase A2-dependent inflammatory gene transcription, acetic acid, which acidifies the canal and inhibits microbial overgrowth, ciprofloxacin, a fluoroquinolone that inhibits bacterial DNA gyrase when secondary infection is present, and clotrimazole, an azole that inhibits ergosterol synthesis for fungal superinfection. Diagnosis is clinical, based on otoscopic evidence of eczematous inflammation and exposure history, supported by patch testing for contact allergens, culture only when infection is suspected, audiometry if hearing loss is significant, and exclusion of mimics such as acute bacterial otitis externa, psoriasis, and neoplasia."
1063,C1321482,Behçet disease affecting oral mucosa,,"Behçet disease affecting the oral mucosa is a chronic, relapsing, multisystem variable-vessel vasculitis and autoinflammatory disorder in which recurrent painful oral aphthous ulcers are the hallmark lesion, often accompanied by genital ulcers, erythema nodosum or papulopustular skin lesions, uveitis, arthritis, and less commonly neurologic, gastrointestinal, or vascular involvement; oral lesions may be minor, major, or herpetiform aphthae and can impair nutrition and quality of life. Genetic susceptibility is polygenic rather than Mendelian, with the strongest association to HLA-B*51, and additional implicated genes including ERAP1, IL10, IL23R-IL12RB2, STAT4, TNF, CCR1, KLRC4, and FUT2, supporting abnormal antigen processing, Th1/Th17 polarization, and dysregulated innate immunity; elevated TNF-α, IL-1, IL-6, IL-8, IL-17, IL-23, IFN-γ, neutrophil hyperreactivity, endothelial activation, and NF-κB/JAK-STAT signaling are central pathogenic pathways. Diagnosis is clinical, commonly based on International Criteria for Behçet’s Disease or older ISG criteria, with supportive testing such as pathergy testing, slit-lamp examination for uveitis, biopsy showing nonspecific neutrophilic vasculitic inflammation, and laboratory studies mainly to exclude mimics, since no pathognomonic serologic test exists. Common treatments for mucocutaneous disease include topical or systemic corticosteroids, which suppress NF-κB-driven inflammatory gene transcription; colchicine, which inhibits microtubule polymerization and neutrophil chemotaxis; and azathioprine, a purine synthesis inhibitor that reduces lymphocyte proliferation; refractory disease may respond to TNF inhibitors such as infliximab or adalimumab, phosphodiesterase-4 inhibition with apremilast, or interferon-α. Important comorbidities and complications include vision loss from uveitis, venous thrombosis, arterial aneurysm, neuro-Behçet syndrome, bowel ulceration, chronic pain, and depression."
1064,C1328252,Mucocutaneous leishmaniasis,D007897,"Mucocutaneous leishmaniasis is a destructive metastatic form of tegumentary leishmaniasis caused predominantly by New World Leishmania (Viannia) species, especially L. braziliensis, and is characterized by chronic granulomatous inflammation of the nasal, oral, pharyngeal, and laryngeal mucosa that usually follows a cutaneous lesion months to years earlier. Disease risk and severity reflect parasite virulence factors such as the surface metalloprotease GP63 and lipophosphoglycan, together with host immunogenetic susceptibility rather than Mendelian inheritance; implicated host genes and proteins include SLC11A1/NRAMP1, TNF, IL10, IFNG, IL6, HLA class II alleles, CXCL10, and TLR pathway components, with excessive TNF-α-, IFN-γ-, and cytotoxic CD8 T-cell–driven responses contributing to tissue injury. Key pathways include macrophage infection via complement receptors, TLR2/TLR4 signaling, IL-12/STAT4-mediated Th1 polarization, IFN-γ-induced nitric oxide killing, NF-κB activation, inflammasome signaling, and counterregulatory IL-10/TGF-β pathways. Typical findings are persistent nasal obstruction, epistaxis, crusting, septal perforation, oral or pharyngeal ulceration, hoarseness, dysphagia, facial disfigurement, and secondary bacterial infection; complications include airway compromise, malnutrition, stigma, and relapse, and comorbidities such as HIV infection, immunosuppression, and chronic bacterial superinfection worsen outcome. Clinical forms include localized cutaneous disease with later mucosal spread, concomitant mucocutaneous disease, and diffuse or recurrent variants. Diagnosis relies on compatible epidemiology and mucosal lesions plus demonstration of parasites or parasite DNA by biopsy histopathology, smear, culture, or PCR, with Montenegro skin testing and serology as supportive tests and endoscopic evaluation to define extent. Standard therapies include pentavalent antimonials such as sodium stibogluconate or meglumine antimoniate, which inhibit parasite bioenergetics and thiol metabolism; amphotericin B, which binds ergosterol-like membrane sterols causing pore formation; miltefosine, which disrupts membrane phospholipid metabolism and signaling; and, in selected cases, pentamidine, which impairs DNA"
